,Unnamed: 0,artists,album_name,popularity,track_genre,album_id,duration,Album Rating
232,232,Mac DeMarco,2,81,edm,2XgBQwGRxr4P7cHLDYiqrO,190845.0,81.0
233,233,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",84,electro,0S0KGZnfBGSIssfF54WSJh,194087.0,78.0
235,235,Daft Punk;Julian Casablancas,Random Access Memories,76,electro,4m2880jivSbbyEGAKfITCa,337560.0,75.5
236,236,Billie Eilish,Happier Than Ever,73,electro,0JGOiO34nwfUdDrD612dOp,173539.0,76.1
238,238,Ashnikko,DEMIDEVIL,72,electro,438ToDoVaJH5aTIXXrlDyI,146523.0,72.0
248,248,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),70,electro,2oj3FG6fos7zAQJxLQGzou,204763.0,70.0
250,250,James Blake;SZA,Friends That Break Your Heart,65,electronic,1zNtJFMCNIyT0X19jpcI3j,195905.0,65.0
251,251,Metronomy,The English Riviera,71,electronic,716fnrS2qXChPC3J2X73pK,277653.0,71.0
252,252,James Blake,Overgrown,64,electronic,53FEYOXnplxBWoQMmWn82U,223600.0,64.0
253,253,James Blake;Bon Iver,The Colour In Anything,59,electronic,1WyrGCkFDlH1xPadZ5qTkL,257219.0,59.0
254,254,Bonobo,The North Borders,59,electronic,7sN6lCgPf1rbZYmA3edMKv,352246.0,46.2
255,255,Chromatics,Kill For Love,52,electronic,2Fp5KBgyC0ac2oitVlsJhY,322994.0,52.0
256,256,Tycho,Awake,58,electronic,0GjrPTT00KWsalUi8jnpR9,283636.0,58.0
257,257,XXXTENTACION;Trippie Redd,17,83,emo,5VdyJkLe3yvOs0l4xXbWp0,146520.0,77.1
259,259,Lil Peep;XXXTENTACION,"Come Over When You're Sober, Pt. 2",81,emo,52JymrguPgkmmwLaWIusst,196400.0,65.9
263,263,XXXTENTACION,SKINS,72,emo,1qsQOC4Jn0fnaUZLAbs4dz,94245.0,63.1
264,264,6ix9ine;Nicki Minaj;Murda Beatz,DUMMY BOY,72,emo,06XM9ExRELs8dcuwEAn1jd,179404.0,65.0
265,265,Lil Pump,Lil Pump,64,emo,2VVvm4zJlUQm9XmBCvGN6z,124055.0,60.0
269,269,6ix9ine,TattleTales,71,emo,6q8AAimjVfKuv9PrI5xto9,132303.0,56.6
277,277,Paramore,After Laughter,75,emo,1c9Sx7XdXuMptGyfCB6hHs,182693.0,68.3
296,296,American Football,American Football,60,emo,3wRBlpk5PRoixwOnLujTal,268333.0,60.0
301,301,Hobo Johnson,The Fall of Hobo Johnson,55,emo,3QrkHSj8pBzE1Kwhpnktkw,215803.0,55.0
304,304,glass beach,the first glass beach album,62,emo,5GOoswCqZQiq9gbjSHkzMq,138119.0,55.7
309,309,Bon Iver,Bon Iver,59,folk,2LpfNj3vB5rOXfaawLcOBg,336613.0,59.0
310,310,Arctic Monkeys,AM,92,garage,78bpIziExqiI9qztvNFlQu,183956.0,77.3
326,326,The Strokes,Angles,68,garage,6Jx4cGhWHewTcfKDJKguBQ,235546.0,62.2
333,333,Death From Above 1979,Outrage! Is Now,57,garage,4kKKH6cFBtNd9etSJzkMjZ,198081.0,57.0
338,338,The Spits,The Spits,29,garage,4IH4X1p5E6WjigQdS1Z5B6,72000.0,26.5
340,340,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,57,garage,7FfiN9ztbjLNPWhuhFHaWf,201706.0,57.0
342,342,Jack White,Lazaretto,58,garage,36LXzRarDP8TU8K0REGpt6,219400.0,58.0
343,343,Ariel Pink;DāM-FunK,Mature Themes,56,garage,08RdKFNm8Cu86FSzlhoAoh,287426.0,56.0
344,344,Ariel Pink,pom pom,54,garage,1GDEy7JQHzOvAIucRlXtGL,200293.0,54.0
345,345,Tony Molina,Dissed and Dismissed,27,garage,0M9cDMEpqJgz6V6AynA7Sy,72339.0,24.7
347,347,Balkans,Balkans,24,garage,0vAzZE6Z6Jw05CpjxAqKo3,169506.0,24.0
349,349,Jack White,Fear Of The Dawn,54,garage,46qeiLBu3KwqFQpJBT7t6B,214842.0,54.0
350,350,Cattle Decapitation,Death Atlas,46,grindcore,7pp0eBrLEcmprISZOmY4ve,268080.0,41.2
351,351,Trap Them,Darker Handcraft,19,grindcore,5mdfU5YxMPnwFwJQMC9rBj,203066.0,16.8
353,353,Full Of Hell,Full of Hell & Merzbow,21,grindcore,5TOfimDwyiJ71grEQMd9UH,55955.0,16.6
356,356,Trap Them,Blissfucker,16,grindcore,4UvIV3bGAXNEfTzJp1Wl5w,256351.0,14.3
