,Unnamed: 0_x,track_id,artists,album_name,track_name,popularity,duration_ms,explicit_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature,track_genre,Unnamed: 0_y,album_id,youtube_id,duration,explicit_y,preview,key_y,mode_y,acousticness_y,danceability_y,energy_y,instrumentalness_y,liveness_y,loudness_y,speechiness_y,valence_y,tempo_y,Album Rating
62,6144,4yf6kr6pFc26AzMkIoSs8A,Darkthrone,Circle The Wagons,Circle The Wagons,21,166826,False,0.217,0.936,9,-4.072,1,0.0734,0.0442,0.00813,0.308,0.333,73.833,4,black-metal,974,0M43d6s6l1b5x6SALQSrP0,JsQHABGsCUQ,166826.0,0.0,https://p.scdn.co/mp3-preview/87f6789a8544fb6eb4cc23afb7aa4b2c0ee7c3e3?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,0.0442,0.217,0.936,0.00813,0.308,-4.072,0.0734,0.333,73.833,19.5
63,6153,0wSDqr9K4hdFaY5P7apPlo,Deafheaven,Infinite Granite,Great Mass of Color,45,360333,False,0.28,0.875,2,-5.312,0,0.0392,0.00284,0.189,0.15,0.462,129.129,4,black-metal,31324,0kCdT4gjYlSxIV7ll3Yd4M,k2Rhhj4QnIk,360333.0,0.0,https://p.scdn.co/mp3-preview/6811a55b720676e1f9a3fe748b92a7e11239a322?cid=511f219d36aa49ae99789b1efd2c51c8,2.0,0.0,0.00284,0.28,0.875,0.189,0.15,-5.312,0.0392,0.462,129.129,43.3
64,6190,4NgewKQuWI3C2vdt6rxFUI,Wolves In The Throne Room,Thrice Woven,Fires Roar in the Palace of the Moon,20,689693,False,0.112,0.944,7,-5.628,1,0.153,0.000139,0.817,0.0935,0.0342,151.694,4,black-metal,21507,1Uw3L9tXHZFuTS1lepKNVk,Und3xhfJUsU,689693.0,0.0,https://p.scdn.co/mp3-preview/a1237c5614fb4c7564a9b7d1fc7b6ee33858e30e?cid=511f219d36aa49ae99789b1efd2c51c8,7.0,1.0,0.000139,0.112,0.944,0.817,0.0935,-5.628,0.153,0.0342,151.694,20.0
65,6282,6M4h6Y9aft9icQR5nuvSTy,Kvelertak,Nattesferd,Dendrofil for Yggdrasil,21,340080,False,0.104,0.964,9,-5.325,1,0.0864,9.91e-06,0.57,0.525,0.126,158.191,4,black-metal,18672,5EAGz1IagdeJoJ2Cgb4DES,kgTq2cC2kUM,340080.0,0.0,https://p.scdn.co/mp3-preview/68c33ec34aa3991b5a022a6229cbd1f30eee06ca?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,9.91e-06,0.104,0.964,0.57,0.525,-5.325,0.0864,0.126,158.191,19.8
66,6283,3TyxRFwcJf2O3mdzVTvJPg,Wolves In The Throne Room,Celestial Lineage,Rainbow Illness,19,88226,False,0.123,0.225,9,-21.184,1,0.0522,0.00063,0.836,0.0564,0.0955,76.104,4,black-metal,2305,3LHSxySCaooKrQxuLtuYSV,axVo2kNjKXc,88226.0,0.0,https://p.scdn.co/mp3-preview/3e5971c3f8fae1a847de68a20cf5b51bed44badc?cid=511f219d36aa49ae99789b1efd2c51c8,9.0,1.0,0.00063,0.123,0.225,0.836,0.0564,-21.184,0.0522,0.0955,76.104,18.7
67,6289,4fVbzqBB2X2XQfFpnaoxY9,Wolves In The Throne Room,Celestial Lineage,Astral Blood,19,616426,False,0.145,0.916,0,-8.108,1,0.0844,0.000125,0.794,0.351,0.0573,149.286,3,black-metal,2307,3LHSxySCaooKrQxuLtuYSV,axVo2kNjKXc,616426.0,0.0,https://p.scdn.co/mp3-preview/a28bfce22d8d64851a7a81e849ad277fe6b24464?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,0.000125,0.145,0.916,0.794,0.351,-8.108,0.0844,0.0573,149.286,18.7
68,6290,1G5TH4XNjghT6K9qiBiMyA,Wolves In The Throne Room,Celestial Lineage,Permanent Changes in Consciousness,19,114773,False,0.103,0.364,5,-21.217,1,0.0479,0.844,0.923,0.13,0.117,79.371,4,black-metal,2303,3LHSxySCaooKrQxuLtuYSV,axVo2kNjKXc,114773.0,0.0,https://p.scdn.co/mp3-preview/7115f925085340339814f08187749693fd901760?cid=511f219d36aa49ae99789b1efd2c51c8,5.0,1.0,0.844,0.103,0.364,0.923,0.13,-21.217,0.0479,0.117,79.371,18.7
69,6330,5AxTA7EKcIiqc51nfBoKl2,Kvelertak,Meir,Snilepisk,20,172906,False,0.133,0.944,0,-4.561,1,0.129,4.09e-06,0.919,0.32,0.306,86.603,1,black-metal,11300,5PAjZGAD8j0XZANLxJWulb,6KelOf9JfaY,172906.0,0.0,https://p.scdn.co/mp3-preview/a4e092538bafb960a42c8ac78a0d126f1662700c?cid=511f219d36aa49ae99789b1efd2c51c8,0.0,1.0,4.09e-06,0.133,0.944,0.919,0.32,-4.561,0.129,0.306,86.603,19.0
70,6336,7lzprKou9yZPeU3kgm3Y14,Kvelertak,Meir,Spring Fra Livet,20,214786,False,0.289,0.967,4,-4.086,1,0.0816,1.07e-06,0.897,0.306,0.115,74.963,4,black-metal,11296,5PAjZGAD8j0XZANLxJWulb,6KelOf9JfaY,214786.0,0.0,https://p.scdn.co/mp3-preview/af340fcd4cbad73fa5860d466c517ce8443164cd?cid=511f219d36aa49ae99789b1efd2c51c8,4.0,1.0,1.07e-06,0.289,0.967,0.897,0.306,-4.086,0.0816,0.115,74.963,19.0
71,6347,1PGMfTSkrMfJBdiFyAztv0,Wolves In The Throne Room,Celestial Lineage,Subterranean Initiation,19,429733,False,0.159,0.931,3,-6.663,0,0.0836,4.16e-06,0.92,0.85,0.0458,150.077,4,black-metal,2304,3LHSxySCaooKrQxuLtuYSV,axVo2kNjKXc,429733.0,0.0,https://p.scdn.co/mp3-preview/cb3f98d00bef82e9ed742f6029426a5aa25f115d?cid=511f219d36aa49ae99789b1efd2c51c8,3.0,0.0,4.16e-06,0.159,0.931,0.92,0.85,-6.663,0.0836,0.0458,150.077,18.7
72,6400,1INgqSIf08RlPhcWSrXXP4,Deafheaven,Infinite Granite,In Blur,42,329853,False,0.343,0.964,1,-4.044,0,0.0507,0.0141,0.694,0.376,0.438,168.021,4,black-metal,31323,0kCdT4gjYlSxIV7ll3Yd4M,k2Rhhj4QnIk,329853.0,0.0,https://p.scdn.co/mp3-preview/7192e8534fa9bb996a9fcb47a5e8c3c65fb6c3ee?cid=511f219d36aa49ae99789b1efd2c51c8,1.0,0.0,0.0141,0.343,0.964,0.694,0.376,-4.044,0.0507,0.438,168.021,43.3
73,6444,2uImQzm9W8Jj2sD1ZOJANr,Toxic Holocaust,Conjure and Command,The Liars Are Burning,20,173600,False,0.507,0.98,8,-4.557,0,0.0762,0.000244,0.0525,0.156,0.753,91.081,4,black-metal,6006,37C6YgkW0GLoxuSAvAPkUi,Lu7PAAopMyY,173600.0,0.0,https://p.scdn.co/mp3-preview/c7919c8786a416f73a7698b9550973f94a94bbc3?cid=511f219d36aa49ae99789b1efd2c51c8,8.0,0.0,0.000244,0.507,0.98,0.0525,0.156,-4.557,0.0762,0.753,91.081,20.0
74,6451,7wcqsaVz5LadhwD12HtOu3,Deafheaven,Infinite Granite,Shellstar,43,366093,False,0.455,0.692,8,-6.914,1,0.0323,0.00751,0.8,0.0767,0.139,136.049,4,black-metal,31322,0kCdT4gjYlSxIV7ll3Yd4M,k2Rhhj4QnIk,366093.0,0.0,https://p.scdn.co/mp3-preview/de39acf73c63e7ee73d17a81b17186599c31f268?cid=511f219d36aa49ae99789b1efd2c51c8,8.0,1.0,0.00751,0.455,0.692,0.8,0.0767,-6.914,0.0323,0.139,136.049,43.3
75,6479,3sZnMMojrkwOxzdV1zUf2J,Leviathan,Scar Sighted,Within Thrall,18,337980,False,0.181,0.942,10,-7.231,0,0.0982,7.48e-06,0.714,0.112,0.133,152.13,4,black-metal,15662,4hnlvhL0RR3AH2YOVChSsh,JKM79q5lKVM,337980.0,0.0,https://p.scdn.co/mp3-preview/b17bb3269a43deeab4989264a3211833450ec2e6?cid=511f219d36aa49ae99789b1efd2c51c8,10.0,0.0,7.48e-06,0.181,0.942,0.714,0.112,-7.231,0.0982,0.133,152.13,17.5
