artists,album_name,duration_ms,danceability_x,energy_x,mode_x,acousticness_x,valence_x,tempo_x,time_signature,track_genre,album_id,duration,Album Rating,rating
Kvelertak,Meir,172906,0.133,0.944,1,4.09e-06,0.306,86.603,1,black-metal,5PAjZGAD8j0XZANLxJWulb,172906.0,19.0,8.0
Toxic Holocaust,Conjure and Command,173600,0.507,0.98,0,0.000244,0.753,91.081,4,black-metal,37C6YgkW0GLoxuSAvAPkUi,173600.0,20.0,8.0
Leviathan,Scar Sighted,337980,0.181,0.942,0,7.48e-06,0.133,152.13,4,black-metal,4hnlvhL0RR3AH2YOVChSsh,337980.0,17.5,8.0
Darkthrone,The Underground Resistance,256252,0.244,0.985,1,8.51e-06,0.195,71.249,4,black-metal,2GbdKYnwbDn7KV37EcVQN1,256252.0,18.0,6.0
Wolves In The Throne Room,Celestite,872398,0.0668,0.4,0,0.14,0.0381,74.465,4,black-metal,3CZ1efJZ8G1hDBETkFuoxw,872398.0,16.5,8.0
Cage The Elephant,Melophobia,208760,0.636,0.676,1,0.0807,0.273,113.98,4,blues,4EK8gtQfdVsmDTji7gBFlz,208760.0,70.2,8.0
Cage The Elephant,Tell Me I'm Pretty,225973,0.47,0.623,1,0.392,0.298,77.861,4,blues,0nW0w37lrQ87k7PLZvC4qJ,225973.0,63.5,6.0
The Black Keys,El Camino,193653,0.356,0.872,1,0.00417,0.607,166.3,4,blues,5DLhV9yOvZ7IxVmljMXtNm,193653.0,69.7,2.0
The Black Keys,El Camino,193653,0.356,0.872,1,0.00417,0.607,166.3,4,blues,5DLhV9yOvZ7IxVmljMXtNm,193653.0,69.7,2.0
The Black Keys,Turn Blue,410186,0.282,0.547,1,0.03,0.133,151.468,4,blues,6TvxpBzf9c8H1fsrAaQ8t3,410186.0,61.5,4.0
Greta Van Fleet,The Battle at Garden’s Gate,270887,0.374,0.778,1,0.1,0.484,133.85,3,blues,7kjLKy9JLbwM9F7eDQEnd2,270887.0,67.0,2.0
Cage The Elephant,Social Cues,163200,0.52,0.931,1,0.0018,0.557,166.018,4,blues,2VuZJsJBPLwg9BeQFQle8G,163200.0,60.0,5.0
The Chemical Brothers,No Geography,316680,0.721,0.867,0,0.048,0.917,125.005,4,breakbeat,7d1KwAPdMEBqCERVsKRUox,316680.0,41.4,6.0
Adele,30,225148,0.534,0.725,1,0.091,0.55,88.098,4,british,21jF5jlMtzo94wbxmJ18aa,225148.0,71.5,7.0
Michael Kiwanuka,KIWANUKA,233053,0.398,0.176,0,0.743,0.0691,139.941,4,british,1yIqauTni1V7l7djYAKSsZ,233053.0,54.0,7.0
Laura Marling,Song For Our Daughter,237228,0.553,0.104,1,0.947,0.186,97.067,4,british,0ubXthGSkZfe30Nuj91lcu,237228.0,52.0,9.0
Beach Fossils,Somersault,158474,0.615,0.743,1,0.237,0.528,162.22,4,chill,2d7uieZPQtrUi5AQXwdsYV,158474.0,63.0,5.0
Beach Fossils,Clash the Truth,146293,0.553,0.685,1,0.145,0.491,79.998,4,chill,4qC8mysA680i7chkL3JQQw,146293.0,63.0,8.0
Unknown Mortal Orchestra,II,230146,0.829,0.435,1,0.0363,0.594,103.817,4,chill,2UrexGLK8RBKbv07j7ui19,230146.0,63.0,7.0
Blood Orange,Negro Swan,242341,0.622,0.46,0,0.14,0.514,183.241,4,chill,7bvmGyFDwpHNRRRZJ0AHvn,242341.0,66.0,8.0
Unknown Mortal Orchestra,Sex & Food,268333,0.956,0.377,1,0.566,0.566,119.993,4,chill,2swiA7ANSFyAHKJhkD4mNR,268333.0,65.0,5.0
Gesaffelstein,Aleph,247603,0.682,0.934,1,0.0619,0.0708,108.982,3,club,3MiiF9utmtGnLVITgl0JP7,247603.0,43.3,5.0
SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,232806,0.776,0.717,1,0.115,0.828,139.995,4,club,4z3YbEkKWwiIMSJTWUQbTH,232806.0,44.8,8.0
Arca,KICK ii,151531,0.581,0.844,0,0.0855,0.546,93.963,4,club,1Vg5v9M0afj5sIl1ndRXzy,151531.0,51.2,7.0
SOPHIE,VYZEE,202531,0.891,0.571,0,0.147,0.733,129.994,4,club,619AAL08eHbip6ce8Jixbe,202531.0,49.0,8.0
A. G. Cook;Cecile Believe,7G,169500,0.755,0.433,0,0.431,0.605,160.052,4,club,16NHNs15w1bpkFiBOUgDaB,169500.0,40.2,6.0
The Magnetic Fields,50 Song Memoir,176426,0.275,0.439,1,0.895,0.406,150.66,4,club,2b3JjOvKw9UN47ND80Tvri,176426.0,21.0,7.0
Andy Stott,Faith in Strangers,389186,0.657,0.692,1,0.0286,0.164,136.995,4,club,1BzMONuUlgUnqOrg2aQeAY,389186.0,45.0,7.0
Fire-Toolz,Eternal Home,158806,0.454,0.969,1,0.0973,0.19,136.985,4,club,4ZyfutgwGoPLRNkJqVidZ2,158806.0,15.5,7.0
Lil Dicky;Brendon Urie,Professional Rapper,244339,0.829,0.514,1,0.203,0.397,114.955,4,comedy,7IhHBoBPWlCSrr8DCmP5ot,244339.0,56.4,2.0
Kacey Musgraves,Golden Hour,219053,0.689,0.614,0,0.252,0.411,141.97,4,country,7f6xPqyaolTiziKf5R5Z0c,219053.0,69.0,4.0
Ariana Grande,"thank u, next",178626,0.778,0.317,0,0.592,0.327,140.048,4,dance,2fYhqwDWXjbpjaIJPEfKFw,178626.0,81.3,8.0
Ariana Grande,Positions,172324,0.737,0.802,1,0.468,0.682,144.015,4,dance,3euz4vS7ezKGnNSwgyvKcd,172324.0,81.3,5.0
Doja Cat,Planet Her,172626,0.824,0.764,0,0.0888,0.881,107.998,4,dance,1nAQbHeOWTfQzbOoFrvndW,172626.0,84.2,5.0
Dua Lipa,Future Nostalgia,203807,0.695,0.884,0,0.0561,0.914,103.014,4,dance,7fJJK56U9fHixgO0HQkhtI,203807.0,81.0,7.0
Katy Perry,Smile,185480,0.721,0.751,0,0.162,0.738,140.095,4,dance,47zMF6LrXQ8odi6Xv1unC0,185480.0,78.0,4.0
ZAYN,Mind Of Mine (Deluxe Edition),202746,0.584,0.7,1,0.117,0.438,124.944,4,dance,5amj9zNeZ3B2EdpBgXrOZ0,202746.0,78.0,4.0
Ariana Grande,Sweetener,197546,0.602,0.658,1,0.0233,0.268,145.031,4,dance,3tx8gQqWbGwqIGZHqDNrGe,197546.0,79.0,7.0
Doja Cat,Hot Pink,226986,0.749,0.463,1,0.21,0.189,90.035,4,dance,1MmVkhiwTH0BkNOU3nw5d3,226986.0,81.0,4.0
Bruno Mars,24K Magic,206693,0.853,0.56,1,0.013,0.86,134.066,4,dance,4PgleR09JVnm3zY1fW3XBA,206693.0,83.0,7.0
Beyoncé,RENAISSANCE,225388,0.78,0.689,1,0.0368,0.642,115.042,4,dance,6FJxoadUE4JNVwWHghBwnb,225388.0,93.0,8.0
Beyoncé,RENAISSANCE,225388,0.78,0.689,1,0.0368,0.642,115.042,4,dance,6FJxoadUE4JNVwWHghBwnb,225388.0,93.0,8.0
Beyoncé,RENAISSANCE,225388,0.78,0.689,1,0.0368,0.642,115.042,4,dance,6FJxoadUE4JNVwWHghBwnb,225388.0,93.0,8.0
Cardi B;Bad Bunny;J Balvin,Invasion of Privacy,253390,0.816,0.726,0,0.099,0.65,136.048,4,dance,4KdtEKjY3Gi0mKiSdy96ML,253390.0,79.0,6.0
Nicki Minaj,Queen Radio: Volume 1,170977,0.951,0.878,1,0.0509,0.923,133.014,4,dance,1ia27ME4iQkoIyUHBnJqX6,170977.0,83.0,5.0
Gojira,Fortitude,300783,0.382,0.954,1,0.00038,0.513,181.933,4,death-metal,3bmdzJRZ4DLRTiA6yBBQcI,300783.0,51.5,7.0
Meshuggah,Koloss,372866,0.207,0.945,1,3.26e-05,0.0399,113.254,3,death-metal,1WzwZsb0LvVXhngbHjBfd9,372866.0,53.0,6.0
Cannibal Corpse,Violence Unimagined,272994,0.13,0.947,1,2.45e-05,0.334,60.631,4,death-metal,1OSmlc9qUXmCPzox9m9J3l,272994.0,50.0,7.0
Undeath,It's Time...To Rise from the Grave,233237,0.213,0.948,1,0.000761,0.133,102.935,4,death-metal,5pL9YDRmrXWNPEJGKiYUXs,233237.0,22.0,7.0
Undeath,It's Time...To Rise from the Grave,233237,0.213,0.948,1,0.000761,0.133,102.935,4,death-metal,5pL9YDRmrXWNPEJGKiYUXs,233237.0,22.0,7.0
Tribulation,The Children of the Night,411786,0.208,0.902,0,0.000279,0.136,130.995,4,death-metal,4whOD3w1OmMhEcv54ai3Ju,411786.0,21.0,7.0
Havok,Conformicide,437413,0.415,0.964,1,0.000509,0.326,178.567,4,death-metal,6GI3M1qTLgDNNcZCTzgWEQ,437413.0,22.0,7.0
Miami Horror,Illumination,253728,0.58,0.86,0,0.0176,0.43,124.992,4,disco,37oEeZfUpmbYlJnORF36Zk,253728.0,59.0,7.0
Miami Horror,Illumination,253728,0.58,0.86,0,0.0176,0.43,124.992,4,disco,37oEeZfUpmbYlJnORF36Zk,253728.0,59.0,7.0
